#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,0.704,1466.2,29.7,303.4,8.07,0.33,-7.77,132.1,-663.2,28.9,4.7,-22.5,-0.1,X0,OK,4.0,    
0.50,0.690,1440.3,44.5,297.8,8.32,0.33,-7.12,134.9,-670.3,26.7,4.7,-25.2,-0.1,X0,OK,4.0,    
1.00,0.676,1413.0,58.5,292.3,8.15,0.33,-6.48,137.9,-661.5,24.2,4.3,-28.8,-0.1,X0,OK,4.0,    
1.50,0.661,1385.0,71.1,286.5,7.89,0.34,-5.87,135.6,-715.7,22.5,4.0,-29.2,-0.0,X0,OK,4.0,    
2.00,0.646,1357.2,82.4,280.3,7.65,0.33,-5.29,134.5,-765.6,21.1,3.8,-28.5,-0.0,X0,OK,4.0,    
2.50,0.632,1329.3,92.6,273.6,7.81,0.32,-4.74,133.2,-846.3,19.4,3.6,-28.3,-0.0,X0,OK,4.0,    
3.00,0.617,1301.3,101.5,266.3,8.07,0.30,-4.22,133.5,-900.0,17.5,3.7,-28.2,-0.0,X0,OK,4.0,    
3.50,0.602,1272.6,109.3,258.6,8.00,0.28,-3.73,135.1,-934.6,15.7,3.7,-28.4,-0.0,X0,OK,4.0,    
4.00,0.587,1243.7,115.9,250.7,8.08,0.25,-3.27,133.6,-973.6,13.9,3.6,-27.8,-0.0,X0,OK,4.0,    
4.50,0.571,1214.6,121.2,242.4,8.05,0.22,-2.85,135.2,-1012.7,12.3,3.6,-25.4,-0.0,X0,OK,4.0,    
5.00,0.555,1184.7,125.4,234.1,7.92,0.19,-2.47,138.0,-955.2,11.5,4.0,-20.9,-0.0,X0,OK,4.0,    
5.50,0.540,1154.5,128.8,226.4,7.85,0.16,-2.11,136.0,-914.0,10.3,4.1,-19.1,-0.0,X0,OK,4.0,    
6.00,0.524,1125.0,131.2,218.8,7.80,0.14,-1.78,133.1,-908.1,9.2,4.0,-17.1,-0.0,X0,OK,4.0,    
6.50,0.509,1096.1,132.9,211.2,7.84,0.11,-1.48,131.4,-912.1,8.0,4.0,-17.3,-0.0,X0,OK,4.0,    
7.00,0.493,1067.2,133.8,203.6,8.13,0.08,-1.20,133.1,-913.0,6.4,4.2,-19.1,-0.0,X0,OK,4.0,    
7.50,0.477,1037.5,133.7,196.2,8.27,0.05,-0.96,136.9,-842.3,4.7,4.6,-20.9,-0.0,X0,OK,4.0,    
8.00,0.461,1006.8,132.6,189.6,7.98,0.05,-0.76,140.0,-748.2,3.2,4.7,-21.3,-0.0,X0,OK,4.0,    
8.50,0.444,976.1,130.4,183.6,7.77,0.05,-0.61,137.0,-712.1,2.2,4.5,-20.1,0.0,X0,OK,4.0,    
