#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,0.905,1540.1,-906.0,324.1,9.93,-0.20,-30.38,97.8,-196.8,88.0,9.1,-15.0,-0.0,X0,OK,4.0,    
0.50,0.899,1543.8,-880.8,322.5,9.91,-0.20,-29.58,97.6,-180.2,86.4,9.0,-13.7,-0.0,X0,OK,4.0,    
1.00,0.894,1547.0,-855.8,321.0,10.05,-0.20,-28.79,97.4,-171.6,85.1,8.9,-13.8,-0.0,X0,OK,4.0,    
1.50,0.888,1549.7,-830.8,319.6,9.66,-0.20,-28.00,97.2,-167.5,83.8,8.8,-14.6,-0.0,X0,OK,4.0,    
2.00,0.883,1551.6,-805.8,318.3,9.54,-0.19,-27.21,96.9,-161.8,82.6,8.7,-14.7,-0.0,X0,OK,4.0,    
2.50,0.877,1553.0,-781.0,316.9,9.29,-0.19,-26.43,96.7,-156.0,81.3,8.5,-14.1,-0.0,X0,OK,4.0,    
3.00,0.871,1553.8,-756.4,315.6,9.06,-0.19,-25.65,96.4,-181.2,80.2,8.3,-13.2,-0.0,X0,OK,4.0,    
3.50,0.865,1554.1,-731.8,313.9,9.04,-0.19,-24.87,96.2,-212.0,79.1,8.1,-12.4,-0.0,X0,OK,4.0,    
4.00,0.859,1553.9,-707.4,312.0,8.87,-0.19,-24.09,96.0,-233.0,78.2,7.9,-12.2,-0.0,X0,OK,4.0,    
4.50,0.853,1553.2,-683.1,310.0,8.74,-0.19,-23.31,95.9,-261.9,77.2,7.8,-13.2,-0.0,X0,OK,4.0,    
5.00,0.847,1552.0,-658.9,307.7,8.62,-0.20,-22.54,95.9,-282.7,76.0,7.7,-15.4,0.0,X0,OK,4.0,    
5.50,0.841,1550.2,-634.8,305.3,8.60,-0.21,-21.77,95.9,-303.3,74.5,7.7,-17.0,0.0,X0,OK,4.0,    
6.00,0.834,1547.7,-610.9,302.7,8.68,-0.22,-21.00,95.9,-318.6,72.7,7.6,-16.9,0.0,X0,OK,4.0,    
6.50,0.828,1544.6,-587.2,300.0,9.04,-0.23,-20.23,95.9,-327.2,70.9,7.6,-16.7,0.0,X0,OK,4.0,    
7.00,0.821,1540.9,-563.6,297.3,9.40,-0.24,-19.47,96.0,-328.3,69.0,7.9,-17.3,0.0,X0,OK,4.0,    
7.50,0.814,1536.4,-540.3,294.6,9.56,-0.25,-18.71,95.9,-314.9,67.2,8.2,-17.0,0.0,X0,OK,4.0,    
8.00,0.808,1531.3,-517.2,292.0,9.75,-0.25,-17.96,95.9,-294.7,65.4,8.3,-15.9,-0.0,X0,OK,4.0,    
8.50,0.801,1525.5,-494.4,289.6,10.15,-0.26,-17.21,95.7,-281.9,63.7,8.4,-14.4,-0.0,X0,OK,4.0,    
9.00,0.793,1519.3,-471.9,287.4,10.38,-0.26,-16.46,95.5,-255.6,62.3,8.6,-13.2,-0.0,X0,OK,4.0,    
9.50,0.786,1512.5,-449.6,285.4,10.48,-0.26,-15.72,95.4,-224.9,61.1,8.7,-12.9,-0.0,X0,OK,4.0,    
10.00,0.779,1505.2,-427.6,283.6,10.35,-0.26,-14.98,95.2,-200.5,60.0,8.9,-13.7,-0.0,X0,OK,4.0,    
10.50,0.772,1497.4,-405.9,282.0,10.08,-0.26,-14.25,95.0,-192.5,58.9,9.0,-15.6,0.0,X0,OK,4.0,    
11.00,0.764,1489.1,-384.6,280.4,10.05,-0.25,-13.52,94.9,-181.3,57.5,9.4,-19.0,0.0,X0,OK,4.0,    
11.50,0.756,1480.0,-363.7,279.0,10.17,-0.24,-12.80,94.8,-157.5,55.6,9.6,-21.6,0.0,X0,OK,4.0,    
12.00,0.749,1470.3,-343.2,277.8,10.21,-0.23,-12.09,94.7,-133.9,53.2,9.6,-21.3,0.0,X0,OK,4.0,    
12.50,0.741,1459.9,-323.3,276.7,9.95,-0.21,-11.39,94.5,-125.2,50.6,9.1,-19.2,0.0,X0,OK,4.0,    
13.00,0.732,1448.8,-303.9,275.5,9.92,-0.20,-10.70,94.2,-176.3,48.3,8.6,-17.9,-0.0,X0,OK,4.0,    
13.50,0.724,1437.3,-285.0,273.8,9.71,-0.19,-10.02,93.8,-233.6,46.6,8.2,-18.6,-0.0,X0,OK,4.0,    
14.00,0.716,1425.2,-266.7,271.7,9.66,-0.19,-9.36,93.7,-284.5,45.2,7.9,-18.7,-0.0,X0,OK,4.0,    
