#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,1.153,2298.3,37.1,332.3,8.69,-0.88,-8.03,180.7,161.0,52.8,7.2,-41.7,-0.0,X0,OK,4.0,    
0.50,1.141,2275.0,72.3,333.4,9.20,-0.84,-7.10,180.0,110.3,49.5,7.1,-44.2,-0.0,X0,OK,4.0,    
1.00,1.128,2250.2,105.9,334.1,10.06,-0.81,-6.19,179.2,49.3,45.7,7.2,-46.7,-0.0,X0,OK,4.0,    
1.50,1.115,2223.9,137.7,334.2,10.16,-0.78,-5.30,178.6,-28.0,42.3,6.9,-48.5,-0.0,X0,OK,4.0,    
2.00,1.101,2195.9,167.6,333.5,10.35,-0.75,-4.44,178.9,-123.4,38.8,6.5,-50.1,-0.0,X0,OK,4.0,    
2.50,1.087,2166.3,195.6,332.1,10.53,-0.73,-3.61,179.3,-224.2,35.2,6.1,-51.3,-0.0,X0,OK,4.0,    
3.00,1.071,2135.0,221.5,329.7,9.74,-0.71,-2.81,179.7,-344.7,32.5,5.4,-50.5,-0.0,X0,OK,4.0,    
3.50,1.055,2102.2,245.4,326.2,9.28,-0.70,-2.04,180.3,-462.5,30.0,4.9,-48.5,-0.0,X0,OK,4.0,    
4.00,1.038,2068.0,267.1,322.0,9.91,-0.69,-1.31,181.0,-547.5,26.5,5.0,-47.9,-0.0,X0,OK,4.0,    
4.50,1.021,2032.6,286.7,317.3,10.40,-0.69,-0.60,181.5,-586.9,22.8,5.2,-48.4,-0.0,X0,OK,4.0,    
5.00,1.003,1996.1,303.9,312.2,10.25,-0.69,0.06,181.8,-633.0,19.5,4.8,-49.4,-0.0,X0,OK,4.0,    
5.50,0.984,1958.6,318.6,306.5,10.07,-0.69,0.68,182.4,-713.0,16.2,4.2,-50.6,-0.0,X0,OK,4.0,    
6.00,0.965,1920.2,330.8,300.2,10.39,-0.69,1.25,182.9,-809.3,12.6,4.1,-51.5,-0.0,X0,OK,4.0,    
6.50,0.945,1881.0,340.4,293.1,10.73,-0.70,1.77,183.4,-890.7,8.9,4.1,-51.0,-0.0,X0,OK,4.0,    
7.00,0.925,1841.3,347.2,285.4,10.80,-0.72,2.22,183.8,-939.6,5.6,4.2,-49.7,-0.0,X0,OK,4.0,    
7.50,0.904,1801.1,351.2,277.5,10.78,-0.74,2.61,184.2,-960.0,2.4,4.3,-48.5,-0.0,X0,OK,4.0,    
8.00,0.883,1760.7,352.4,269.5,10.85,-0.76,2.93,184.7,-955.2,0.9,4.5,-47.2,-0.0,X0,OK,4.0,    
8.50,0.861,1720.1,351.0,261.7,10.95,-0.77,3.17,185.0,-905.3,3.7,5.2,-43.5,-0.0,X0,OK,4.0,    
9.00,0.839,1679.6,346.9,254.8,10.56,-0.78,3.33,185.3,-751.7,5.8,5.9,-38.4,-0.0,X0,OK,4.0,    
9.50,0.817,1639.2,340.5,249.4,9.23,-0.77,3.42,185.7,-556.3,7.1,5.9,-34.7,-0.0,X0,OK,4.0,    
10.00,0.795,1599.1,332.1,245.4,8.42,-0.74,3.44,186.4,-410.4,8.5,6.0,-31.4,-0.0,X0,OK,4.0,    
10.50,0.773,1559.0,321.9,242.8,8.58,-0.69,3.39,187.0,-218.3,10.0,7.0,-27.2,-0.0,X0,OK,4.0,    
11.00,0.750,1519.2,310.1,242.1,8.24,-0.62,3.28,187.4,63.1,10.7,8.0,-21.1,-0.0,X0,OK,4.0,    
11.50,0.728,1479.7,297.0,243.8,6.42,-0.52,3.11,187.7,341.9,10.3,7.4,-13.3,-0.0,XX,OK,4.0,    
12.00,0.706,1440.4,283.2,247.1,3.96,-0.39,2.89,186.9,437.2,10.0,5.3,-7.7,-0.0,XX,--,2.0,F(LO)_OS_X    
12.50,0.684,1401.5,269.2,250.3,2.87,-0.25,2.66,185.5,357.2,10.1,3.9,-5.2,-0.0,XX,--,2.0,_F_(LO)_OS_X    
13.00,0.662,1363.0,255.2,252.9,2.52,-0.12,2.40,184.0,264.1,10.3,3.3,-1.1,-0.0,XX,--,2.0,_F_(LO)_OS_X    
13.50,0.640,1324.9,241.1,254.5,1.97,0.01,2.12,182.5,137.3,10.3,2.4,7.1,-0.0,XX,--,2.0,_F_(LO)_OS_X    
14.00,0.619,1287.1,227.5,254.9,1.80,0.13,1.84,181.1,-28.3,10.0,1.8,11.2,-0.0,XX,--,2.0,_F_(LO)_OS_X    
14.50,0.597,1249.6,214.3,253.9,1.30,0.24,1.56,179.7,-200.6,9.6,0.8,12.0,-0.0,XX,--,2.0,_F_(LO)_OS_X    
15.00,0.576,1212.2,201.5,251.1,1.43,0.32,1.28,178.6,-449.3,8.9,0.2,11.9,-0.0,XX,--,2.0,_F_(LO)_OS_X    
15.50,0.555,1175.0,189.3,246.7,3.45,0.39,1.00,177.4,-599.3,7.8,1.6,11.4,-0.0,XX,--,2.0,_F_(LO)_OS_X    
16.00,0.535,1138.0,177.6,241.8,4.19,0.44,0.73,176.0,-599.2,6.9,2.3,11.4,-0.0,XX,--,2.0,_F_(LO)_OS_X    
16.50,0.514,1101.2,166.4,236.6,3.52,0.50,0.47,174.7,-644.5,6.3,1.4,11.5,-0.0,XX,--,2.0,/_F_(LO)_OS_X    
17.00,0.493,1064.6,155.8,230.8,3.91,0.55,0.22,173.7,-746.7,5.6,1.4,11.0,-0.0,IM,--,2.0,/_F_(LO)_OS_X    
17.50,0.473,1028.2,145.6,224.5,4.75,0.60,-0.03,172.5,-758.4,4.9,2.2,11.0,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)IM   
18.00,0.453,992.0,136.1,218.1,4.19,0.64,-0.26,171.1,-765.9,4.4,1.6,11.8,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)IM   
18.50,0.433,956.1,127.0,211.3,3.56,0.68,-0.48,169.7,-855.5,4.0,0.7,11.9,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H) (DL)IM   
19.00,0.413,920.4,118.5,203.8,3.97,0.71,-0.68,168.2,-958.3,3.3,0.8,10.9,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H) (DL)IM   
19.50,0.394,885.1,110.6,195.6,4.76,0.72,-0.87,166.5,-1009.5,2.6,1.3,9.8,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(HLUL) (DL)IM   
20.00,0.375,850.1,103.1,187.0,5.02,0.72,-1.05,164.7,-1035.8,2.0,1.4,9.2,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(HLUL) (DL)IM   
20.50,0.356,815.5,96.1,178.2,5.12,0.71,-1.21,163.1,-1081.0,1.4,1.3,7.9,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
21.00,0.337,781.2,89.5,169.1,5.65,0.69,-1.36,162.0,-1111.5,0.9,1.7,5.9,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
21.50,0.318,747.1,83.2,159.9,6.17,0.67,-1.50,162.1,-1100.5,0.5,2.3,5.0,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
22.00,0.299,712.7,77.0,151.0,6.15,0.66,-1.63,163.3,-1043.1,0.2,2.4,5.3,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
22.50,0.280,677.9,71.1,142.4,5.31,0.65,-1.77,164.1,-1012.7,0.1,1.7,6.1,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
23.00,0.261,643.1,65.4,133.8,4.98,0.64,-1.88,163.9,-1051.6,0.3,1.3,5.8,-0.0,IM,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
23.50,0.242,608.4,60.0,124.9,5.41,0.63,-1.99,163.1,-1077.4,0.4,1.7,4.9,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM   
24.00,0.223,573.9,54.8,115.9,5.47,0.60,-2.09,161.9,-1077.1,0.6,1.8,4.7,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
24.50,0.205,539.7,49.8,106.8,5.17,0.57,-2.18,160.5,-1106.7,0.9,1.3,4.0,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
25.00,0.186,505.8,45.1,97.4,5.40,0.50,-2.26,159.2,-1165.2,1.2,1.2,3.0,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
25.50,0.168,472.3,40.6,87.5,6.13,0.41,-2.33,158.6,-1192.5,1.5,1.8,2.7,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
26.00,0.150,438.7,36.1,77.7,6.62,0.31,-2.40,159.2,-1165.6,1.8,2.4,2.8,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
26.50,0.131,404.7,31.8,68.3,6.54,0.20,-2.46,161.0,-1111.8,2.1,2.6,2.9,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
27.00,0.113,370.3,27.5,59.2,6.28,0.10,-2.51,163.2,-1055.6,2.4,2.6,2.9,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
27.50,0.093,335.2,23.3,50.7,5.98,0.01,-2.54,165.1,-996.3,2.6,2.5,1.9,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
28.00,0.074,299.8,19.2,42.5,5.40,-0.07,-2.54,165.4,-963.5,2.4,2.2,-0.4,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
28.50,0.055,264.5,15.1,34.4,5.05,-0.18,-2.54,165.2,-971.6,2.0,1.8,-2.1,-0.0,IC,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
29.00,0.036,229.2,10.9,26.3,5.30,-0.34,-2.58,165.0,-989.9,1.6,1.9,-2.8,-0.0,AR,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC 
29.50,0.017,193.9,6.6,18.1,5.65,-0.63,-2.71,164.8,-983.6,1.2,2.3,-2.3,-0.0,AR,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC _F_(LO)LULAR
30.00,-0.003,158.8,2.2,10.0,5.75,-1.15,-3.06,164.6,-955.5,1.0,2.5,-2.5,-0.0,AR,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC _F_(LO)LULAR
30.50,-0.022,123.7,-2.3,2.5,4.39,-2.38,-4.21,164.5,-832.0,0.8,1.6,-2.8,-0.0,AR,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC _F_(LO)LULAR
31.00,-0.041,88.8,-7.0,-0.4,-0.96,-5.06,-27.96,163.2,6.4,0.8,-0.9,0.0,-0.0,AR,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC _F_(LO)LULAR
31.50,-0.060,54.2,-11.6,-0.3,-0.36,-3.67,-178.07,158.8,-1.4,1.1,-0.4,-0.0,-0.0,AR,--,2.0,/_F_(LO)_OS_X _F_(H)LUL (DL)IM  _F_(H)LULIC _F_(LO)LULAR
